Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
0.0000,-0.0819,0.2314,3.4307,-0.0969,0.5545,3.4274,-0.1131,0.8685,3.4113,-0.0755,1.0124,3.3997,-0.2719,0.7293,3.3964,-0.3363,0.4579,3.4357,-0.3542,0.2197,3.3503,-0.3486,0.1471,3.3295,0.0689,0.7233,3.4384,0.1194,0.4631,3.4515,0.1533,0.2193,3.3464,0.1370,0.1529,3.3253,-0.1534,0.2302,3.3831,-0.1445,-0.2239,3.4138,-0.1135,-0.5776,3.4688,-0.1825,-0.6103,3.3159,-0.0086,0.2273,3.3969,0.0129,-0.2311,3.4334,0.0158,-0.5813,3.4835,0.0269,-0.6118,3.3105,-0.1090,0.7914,3.4177,-0.3383,0.0874,3.3239,-0.3029,0.1337,3.3062,0.1365,0.0951,3.3115,0.1595,0.1600,3.2925
0.0676,-0.0829,0.2312,3.4310,-0.0992,0.5543,3.4275,-0.1167,0.8680,3.4110,-0.0786,1.0123,3.4003,-0.2741,0.7294,3.3962,-0.3406,0.4579,3.4356,-0.3558,0.2194,3.3508,-0.3485,0.1484,3.3301,0.0658,0.7237,3.4397,0.1169,0.4624,3.4526,0.1517,0.2189,3.3497,0.1372,0.1529,3.3281,-0.1544,0.2298,3.3833,-0.1468,-0.2253,3.4150,-0.1133,-0.5777,3.4694,-0.1816,-0.6108,3.3162,-0.0095,0.2274,3.3976,0.0119,-0.2308,3.4334,0.0173,-0.5806,3.4846,0.0652,-0.6094,3.3195,-0.1124,0.7909,3.4175,-0.3391,0.0846,3.3223,-0.3001,0.1377,3.3192,0.1396,0.0946,3.3155,0.1622,0.1559,3.2917
0.1339,-0.0857,0.2306,3.4312,-0.1029,0.5537,3.4275,-0.1202,0.8675,3.4107,-0.0835,1.0119,3.3996,-0.2781,0.7296,3.3956,-0.3447,0.4547,3.4355,-0.3572,0.2197,3.3514,-0.3543,0.1478,3.3303,0.0606,0.7240,3.4397,0.1129,0.4618,3.4531,0.1508,0.2188,3.3501,0.1318,0.1541,3.3282,-0.1569,0.2293,3.3832,-0.1495,-0.2272,3.4171,-0.1141,-0.5776,3.4698,-0.1814,-0.6116,3.3164,-0.0127,0.2267,3.3982,0.0110,-0.2309,3.4332,0.0169,-0.5801,3.4843,0.0627,-0.6138,3.3200,-0.1160,0.7904,3.4173,-0.3428,0.0873,3.3221,-0.3022,0.1403,3.3172,0.1320,0.0936,3.3121,0.1561,0.1518,3.2924
0.1998,-0.0894,0.2298,3.4315,-0.1079,0.5530,3.4273,-0.1259,0.8671,3.4101,-0.0898,1.0110,3.3978,-0.2839,0.7282,3.3946,-0.3472,0.4547,3.4355,-0.3607,0.2195,3.3520,-0.3579,0.1471,3.3267,0.0542,0.7245,3.4394,0.1080,0.4613,3.4524,0.1456,0.2179,3.3506,0.1258,0.1518,3.3274,-0.1605,0.2280,3.3832,-0.1508,-0.2281,3.4182,-0.1152,-0.5765,3.4700,-0.1752,-0.6151,3.3141,-0.0165,0.2263,3.3990,0.0096,-0.2313,3.4327,0.0164,-0.5798,3.4842,0.0687,-0.6107,3.3215,-0.1215,0.7899,3.4168,-0.3458,0.0848,3.3215,-0.3128,0.1361,3.3142,0.1295,0.0962,3.3131,0.1500,0.1640,3.2953
0.2675,-0.0934,0.2302,3.4323,-0.1130,0.5533,3.4276,-0.1320,0.8673,3.4098,-0.0979,1.0108,3.3958,-0.2907,0.7275,3.3946,-0.3547,0.4545,3.4364,-0.3699,0.2220,3.3543,-0.3643,0.1459,3.3309,0.0475,0.7259,3.4387,0.1024,0.4638,3.4523,0.1402,0.2191,3.3509,0.1234,0.1545,3.3247,-0.1642,0.2276,3.3838,-0.1532,-0.2272,3.4181,-0.1161,-0.5762,3.4701,-0.1782,-0.6125,3.3145,-0.0206,0.2275,3.4000,0.0075,-0.2325,3.4324,0.0135,-0.5817,3.4830,0.0638,-0.6101,3.3188,-0.1274,0.7901,3.4167,-0.3480,0.0861,3.3120,-0.3279,0.1348,3.3087,0.1269,0.0972,3.3109,0.1497,0.1556,3.3011
0.3339,-0.0966,0.2306,3.4330,-0.1179,0.5529,3.4269,-0.1389,0.8656,3.4073,-0.1060,1.0094,3.3932,-0.2990,0.7278,3.3950,-0.3597,0.4540,3.4364,-0.3785,0.2289,3.3603,-0.3712,0.1428,3.3358,0.0418,0.7267,3.4380,0.0985,0.4639,3.4516,0.1323,0.2246,3.3526,0.1149,0.1528,3.3259,-0.1674,0.2273,3.3849,-0.1552,-0.2288,3.4198,-0.1153,-0.5765,3.4709,-0.1818,-0.6101,3.3169,-0.0238,0.2286,3.4004,0.0060,-0.2336,3.4328,0.0128,-0.5828,3.4834,0.0645,-0.6105,3.3195,-0.1337,0.7888,3.4147,-0.3530,0.0783,3.3251,-0.3416,0.1437,3.3128,0.1163,0.0998,3.3173,0.1451,0.1519,3.2963
0.4005,-0.1055,0.2290,3.4347,-0.1255,0.5521,3.4269,-0.1451,0.8656,3.4060,-0.1145,1.0083,3.3891,-0.3050,0.7271,3.3949,-0.3626,0.4541,3.4378,-0.3820,0.2235,3.3616,-0.3726,0.1410,3.3403,0.0350,0.7254,3.4355,0.0912,0.4631,3.4511,0.1239,0.2347,3.3587,0.1068,0.1581,3.3274,-0.1761,0.2272,3.3864,-0.1563,-0.2294,3.4213,-0.1155,-0.5761,3.4714,-0.1843,-0.6092,3.3184,-0.0330,0.2256,3.4023,0.0036,-0.2342,3.4324,0.0097,-0.5819,3.4831,0.0245,-0.6104,3.3099,-0.1403,0.7886,3.4137,-0.3599,0.0784,3.3299,-0.3285,0.1435,3.3245,0.1073,0.0979,3.3070,0.1426,0.1445,3.2978
0.4669,-0.1091,0.2294,3.4349,-0.1316,0.5512,3.4257,-0.1540,0.8630,3.4031,-0.1245,1.0054,3.3853,-0.3125,0.7263,3.3934,-0.3659,0.4539,3.4399,-0.3866,0.2189,3.3678,-0.3781,0.1393,3.3468,0.0283,0.7261,3.4334,0.0857,0.4660,3.4512,0.1164,0.2248,3.3502,0.1011,0.1578,3.3234,-0.1806,0.2262,3.3869,-0.1588,-0.2289,3.4230,-0.1155,-0.5764,3.4723,-0.1802,-0.6085,3.3167,-0.0361,0.2272,3.4021,0.0016,-0.2350,3.4319,0.0076,-0.5825,3.4814,0.0597,-0.6123,3.3183,-0.1485,0.7864,3.4112,-0.3603,0.0739,3.3334,-0.3471,0.1354,3.3201,0.1118,0.1014,3.3048,0.1333,0.1615,3.2923
0.5342,-0.1133,0.2294,3.4370,-0.1358,0.5508,3.4256,-0.1586,0.8628,3.4009,-0.1302,1.0049,3.3821,-0.3168,0.7256,3.3914,-0.3709,0.4529,3.4421,-0.3907,0.2132,3.3715,-0.3796,0.1367,3.3524,0.0236,0.7262,3.4335,0.0814,0.4666,3.4517,0.1143,0.2241,3.3502,0.0967,0.1611,3.3281,-0.1852,0.2260,3.3895,-0.1647,-0.2301,3.4287,-0.1179,-0.5785,3.4740,-0.1828,-0.6101,3.3183,-0.0398,0.2275,3.4037,0.0005,-0.2355,3.4308,0.0113,-0.5827,3.4822,0.0652,-0.6067,3.3183,-0.1530,0.7862,3.4095,-0.3625,0.0768,3.3421,-0.3388,0.1170,3.3344,0.1045,0.1158,3.3052,0.1334,0.1496,3.3064
0.6008,-0.1188,0.2285,3.4402,-0.1425,0.5503,3.4270,-0.1664,0.8629,3.4007,-0.1353,1.0033,3.3804,-0.3214,0.7252,3.3895,-0.3755,0.4517,3.4406,-0.3912,0.2128,3.3717,-0.3783,0.1340,3.3500,0.0197,0.7273,3.4362,0.0780,0.4669,3.4536,0.1140,0.2255,3.3506,0.0938,0.1585,3.3269,-0.1899,0.2249,3.3930,-0.1679,-0.2317,3.4331,-0.1220,-0.5755,3.4763,-0.1802,-0.6092,3.3178,-0.0454,0.2268,3.4066,0.0008,-0.2355,3.4240,0.0097,-0.5817,3.4808,0.0603,-0.6152,3.3182,-0.1605,0.7861,3.4097,-0.3616,0.0750,3.3476,-0.3359,0.1236,3.3341,0.1048,0.1110,3.3132,0.1281,0.1585,3.2956
